Areas,Keyword,Alt1,Alt2,Alt3,Alt4,Alt5,Alt6,Alt7,Alt8,Alt9,Alt10
Attacks (Production),Pertubation,Adversarial examples,Adversarial image,,,,,,,,
Attacks (Production),Inference attack,Attribute inference,,,,,,,,,
Attacks (Production),Confidence Reduction,,,,,,,,,,
Attacks (Production),Targeted misclassification,,,,,,,,,,
Attacks (Production),Aversarial Reprogramming,,,,,,,,,,
Attacks (Production),Paramater inference,,,,,,,,,,
Attacks (Production),Model extraction attack,,,,,,,,,,
Attacks (Production),Membership inference attack,,,,,,,,,,
Attacks (Production),Model inversion,,,,,,,,,,
Attacks (Training),Backdooring,,,,,,,,,,
Attacks (Training),Trojan,,,,,,,,,,
Attacks (Training),Poisoning,,,,,,,,,,
Attacks (Training),Label modification,,,,,,,,,,
Attacks (Training),Data Injection,,,,,,,,,,
Attacks (Training),Data Modification,,,,,,,,,,
Attacks (Training),Logic Corruption,,,,,,,,,,
Attacks (Training),Gradient based attack,fast gradient sign method,FGSM,L-BFGS,Basic Iterative Method,Least-Likely Class Method,Saliency Map Attack,,,,
Attacks (Training),expectation over transformation,adversarial patch,eot attack,,,,,,,,
Attacks (Training),cleverhans,foolbox,deepfool,Carlini-Wagner's L2,,,,,,,
Climate,,,,,,,,,,,
Climate,air quality,,,,,,,,,,
Climate,aerosol,,,,,,,,,,
Climate,global warming,,,,,,,,,,
Climate,ecology,,,,,,,,,,
Climate,climate,,,,,,,,,,
Climate,water quality,,,,,,,,,,
Defense,adversarial training,defensive distillation,,,,,,,,,
Disaster Relief,Hurricane,,,,,,,,,,
Disaster Relief,emergency service,,,,,,,,,,
Dual Use,UAV,Unmanned Aerial Vehicles,,,,,,,,,
Dual Use,Missile,,,,,,,,,,
Education,mooc,,,,,,,,,,
Education,student,,,,,,,,,,
Finance,finance,personal finance,wealth management,portfolio,,,,,,,
Economics,auction,decision theory,stable match,bid,,,,,,,
Economics,voting,election,,,,,,,,,
Economics,knapsack,bandit,,,,,,,,,
Economics,trade,exchange,pricing,economy,,,,,,,
Global development,,,,,,,,,,,
Government services,,,,,,,,,,,
Healthcare,symptoms,diagnosis,,,,,,,,,
Healthcare,medical imagery,,,,,,,,,,
Healthcare,cancer,pathology,,,,,,,,,
Healthcare,mortality,,,,,,,,,,
Healthcare,blood,kidney,,,,,,,,,
Healthcare,medical imagery,,,,,,,,,,
Healthcare,medical,,,,,,,,,,
Healthcare,genetics,,,,,,,,,,
Healthcare,protein,,,,,,,,,,
Healthcare,respiratory,,,,,,,,,,
Healthcare,fitness,wellness,personalized care,,,,,,,,
Misinformation,GANs,GAN,Generative Adversial Networks,Generative Adversial Nets,Adversial Net,Adversial Networks,,,,,
Misinformation,Text Generation,Synthetic Text,,,,,,,,,
Misinformation,Video Generation,Synthetic Video,,,,,,,,,
Misinformation,Audio Generation,Synthetic Audio,,,,,,,,,
Misinformation,Image Generation,Synthetic Images,,,,,,,,,
Misinformation,Deep-fake,,,,,,,,,,
Privacy,Federated learning,,,,,,,,,,
Privacy,Split learning,,,,,,,,,,
Privacy,Homomorphic encryption,,,,,,,,,,
Privacy,Differential privacy,,,,,,,,,,
Robotics,autonomous vehicles,AVs,UAVs,,,,,,,,
Robotics,lidar,radar,,,,,,,,,
Safety,Interpretability,Explainability,,,,,,,,,
Safety,Digital forensics,Deepfake detection,,,,,,,,,
Satellite,geospatial,,,,,,,,,,
Satellite,landsat,modis,,,,,,,,,
Security,encryption,homomorphic,,,,,,,,,
Security,hacking,,,,,,,,,,
Security,injection,cross site scripting,,,,,,,,,
Simulation,,,,,,,,,,,
Surveillance,Gait Recognition,,,,,,,,,,
Surveillance,Facial Recognition,Face Recognition,Face ID,Face detection,Face matching,Face identification,,,,,
Surveillance,Ethnicity Recognition,Race recognition,Ethnicity classification,Race classification,,,,,,,
Surveillance,Motion detection,,,,,,,,,,
Transportation,,,,,,,,,,,