Category,Type,Dual use (0-3),Keyword,Alt1,Alt2,Alt3,Alt4,Alt5,Alt6,Alt7,Alt8,Alt9,Alt10,,,,,,,,,,,,,,,,,,
Attacks,,,Pertubation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacks,,,Model inversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dual use,topic,,Autonomous vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dual use,topic,,Unmanned aerial vehicle,UAV,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misinformation,topic,,GANs,generative adversarial networks,generative networks,generative model,discriminative network,,,,,,,,,,,,,,,,,,,,,,,,
Misinformation,topic,,Deep fake,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Privacy,,,Federated Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Privacy,,,Differential Privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safety,topic,,Interpretability,black box,Explainable AI,Explainability,,,,,,,,,,,,,,,,,,,,,,,,,
Surveillance,,,Lip reading,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surveillance,,,enthic identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dataset,,ImageNet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dataset,,Common objects in context,COCO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dataset,,MNIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dataset,,CIFAR-10,CIFAR-100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dataset,,Stanford Question Answering Dataset,SQuAD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dataset,,Large-scale Scene Understanding,LSUN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,open source,,PyTorch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platforms???,open source,,TensorFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platforms???,open source,,PaddlePaddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platforms???,open source,,Caffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,open source,,Microsoft Cognitive Toolkit,CNTK,,,,,,,,,,,,,,,,,,,,,,,,,,,
,open source,,Sonnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,topic,,Transfer learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,topic,,Unsupervised learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,topic,,Reinforcement learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,topic,,Simulated Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,topic,,Low shot learning,low-shot learning,few shot learning,few-shot learning,,,,,,,,,,,,,,,,,,,,,,,,,
,topic,,CNN,Convolutional neural network,,,,,,,,,,,,,,,,,,,,,,,,,,,
,topic,,Autoencoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,topic,,Style transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,topic,,AlexNet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConvNet,category,2,LeNet,AlexNet,convolutional,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning types,category,0,federated learning,distributed learning,active learning,reinforcement learning,genetic algorithm,multi-task learning,adversarial training,transfer learning,feature learning,multi-scale training,PAC learning,online learning,,,,,,,,,,,,,,,,,
Data stuff,category,1,Synthetic Data,differential privacy,data masking,data augmentation,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation,category,2,simula,,,,,,,,,,,,,,,,,,,,,,,,,,,,
control theory,category,2,control theory,nonlinear control,,,,,,,,,,,,,,,,,,,,,,,,,,,
computer vision,category,3,object recognition,facial recognition,image-to-image,style,caption,image,vision,,,,,,,,,,,,,,,,,,,,,,
commerce/sales,category,1,sales,marketing,commerce,advertising,,,,,,,,,,,,,,,,,,,,,,,,,
security,category,1,security,identity fraud,security camera,privacy,hashing,hack,attack,malware,,,,,,,,,,,,,,,,,,,,,
agriculture,category,0,agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infrastructure,category,0,infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,
game playing,category,1,game playing,Monte carlo tree search,playing,games,agent,minimax,,,,,,,,,,,,,,,,,,,,,,,
internet-of-things,category,1,internet-of-things,internet of things,,,,,,,,,,,,,,,,,,,,,,,,,,,
geospatial,category,3,geospatial,satellite imagery,,,,,,,,,,,,,,,,,,,,,,,,,,,
economics/finance,category,1,finance,personal finance,wealth management,auction,decision theory,stable match,voting method,election,portfolio,bandit,knapsack,vote,voting,pricing,budget,trade,exchange,price,market,bid,economic,,,,,,,,
VR AR,category,1,virtual reality,augmented reality,,,,,,,,,,,,,,,,,,,,,,,,,,,
customer service,category,0,customer service,customer experience,content optimization,content analysis,customer retention,,,,,,,,,,,,,,,,,,,,,,,,
algorithms,category,0,POMDP,Markov,space efficien,MDP,Boltzmann,constraint satisfaction,NP-complete,NP-hard,satisfiability,Baysean network,spline,constraint sat,Riemann,PCA,kernel,hyperparameter,combinatorial,optimization,local min,local max,Gauss,matrix,monte carlo,off-policy,clustering,MapReduce,POMDPs,hessian,dynamical
healthcare,category,1,healthcare,medical imagery,medical,diagnosis,fitness,wellness,cancer,genetics,personalized care,protein,kidney,mortality,blood,respiratory,,,,,,,,,,,,,,,
NLP,category,1,natural language processing,speech to text,text to speech,chatbot,optical character recognition,machine translation,natural language understanding,text mining,spam filter,question,semantic parsing,language,recommender system,segmentation,semantic,NLP,handwriting,librari,search engine,collaborative filtering,text generation,author,document,text,twitter,tweet,vocabulary,character-level,mining
robotics,category,3,robot,autonomous vehicle,UAV,autonomous system,electric car,vehicle,,,,,,,,,,,,,,,,,,,,,,,
networks,category,1,social network,network theory,social,graph,traffic,,,,,,,,,,,,,,,,,,,,,,,,
graphics,category,1,graphics,animation,spline,storyboard,3D,skeleton,,,,,,,,,,,,,,,,,,,,,,,
education,category,0,mooc,education,student,tutor,,,,,,,,,,,,,,,,,,,,,,,,,
space,category,3,moon,lunar,NASA,mars,orbit,galaxy,dark energy,,,,,,,,,,,,,,,,,,,,,,
environment,category,0,environment,air quality,aerosol,ecology,global warming,climate,,,,,,,,,,,,,,,,,,,,,,,
,platform,,Google Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,platform,,Amazon web services,AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,
,platform,,Azure,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,platform,,IBM Watson,Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,
,platform,,Alibaba Cloud,Aliyun,,,,,,,,,,,,,,,,,,,,,,,,,,,
,platform,,Tencent Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hardware,,tensor processing unit,TPU,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hardware,,graphics processing unit,GPU,,,,,,,,,,,,,,,,,,,,,,,,,,,